"Amostra";"h";"Tempo";"Reatores";"Percentual";"Treat";"Block";"Cyanobacteria";"Outros";"Isimp.";"Ishan.";"ID";"IE";"Bacillariophyta";"Charophyta";"Chlorophyta";"Cryptophyta";"Euglenozoa";"Ochrophyta"
"1";1;0;0;0;"0";"Treat";"B1";515826;5091;0.63;1.31;0.37;0.53;1215;83;3502;125;166;0
"2";2;0;0;0;"0";"Treat";"B2";495612;6040;0.65;1.38;0.35;0.6;690;101;4184;913;152;0
"3";3;0;0;0;"0";"Treat";"B3";450710;3879;0.68;1.52;0.32;0.56;1359;0;2299;177;44;0
"4";4;0;0;0;"0";"Ctrl";"B1";425141;4366;0.65;1.31;0.35;0.57;1108;0;2909;349;0;0
"5";5;0;0;0;"0";"Ctrl";"B2";378631;5294;0.68;1.5;0.32;0.59;1228;44;3823;155;44;0
"6";6;0;0;0;"0";"Ctrl";"B3";403022;3418;0.66;1.35;0.34;0.61;813;0;2040;478;87;0
"7";1;72;7;15;"100";"Treat";"B1";608674;10497;0.38;0.79;0.62;0.29;3976;2609;3234;626;52;0
"8";2;72;7;15;"100";"Treat";"B2";25334760;560359;0.32;0.76;0.68;0.29;221868;85334;221718;20211;11228;0
"9";3;72;7;15;"100";"Treat";"B3";186648;3276;0.25;0.6;0.75;0.23;1575;674;853;112;62;0
"10";4;72;7;0;"0";"Ctrl";"B1";389496;4587;0.69;1.51;0.31;0.65;379;112;3703;393;0;0
"11";5;72;7;0;"0";"Ctrl";"B2";3230362;46280;0.79;1.79;0.21;0.65;13912;3619;26035;1206;1508;0
"12";6;72;7;0;"0";"Ctrl";"B3";2349226;32070;0.81;1.83;0.19;0.65;8787;7065;13962;1544;712;0
"13";1;168;14;15;"100";"Treat";"B1";899905;15016;0.51;1.24;0.49;0.45;5655;3162;5130;846;223;0
"14";2;168;14;15;"100";"Treat";"B2";656123;14566;0.41;0.96;0.59;0.37;4977;3505;5144;803;137;0
"15";3;168;14;15;"100";"Treat";"B3";630314;12525;0.41;1.01;0.59;0.37;6079;1952;3843;320;331;0
"16";4;168;14;0;"0";"Ctrl";"B1";438687;4853;0.8;1.83;0.2;0.66;1327;985;2112;343;86;0
"17";5;168;14;0;"0";"Ctrl";"B2";2247892;30404;0.78;1.89;0.22;0.67;7088;4856;16618;1005;670;167
"18";6;168;14;0;"0";"Ctrl";"B3";1780519;24935;0.8;1.88;0.2;0.68;8226;6969;7341;1628;771;0
"19";1;336;21;14;"<70";"Treat";"B1";1706829;31028;0.63;1.51;0.37;0.52;14122;1765;12178;2900;63;0
"20";2;336;21;15;"<70";"Treat";"B2";1441670;38239;0.63;1.49;0.37;0.52;17059;4452;13021;1863;1043;801
"21";3;336;21;14;"<70";"Treat";"B3";1227544;41442;0.7;1.67;0.3;0.58;18154;5265;14864;1645;1382;132
"22";4;336;21;0;"0";"Ctrl";"B1";595864;8929;0.79;1.82;0.21;0.66;5653;891;1933;260;192;0
"23";5;336;21;0;"0";"Ctrl";"B2";7688710;145229;0.79;1.93;0.21;0.67;46168;11463;79192;6659;1747;0
"24";6;336;21;0;"0";"Ctrl";"B3";4350334;47281;0.73;1.68;0.27;0.58;13637;3808;27799;1063;974;0
"25";1;504;28;4;"<70";"Treat";"B1";1751455;27046;0.61;1.39;0.39;0.53;10257;5148;9971;1113;487;70
"26";2;504;28;15;"<70";"Treat";"B2";1691342;28741;0.71;1.56;0.29;0.58;11763;6258;9346;1145;229;0
"27";3;504;28;7;"<70";"Treat";"B3";1921800;28577;0.67;1.49;0.33;0.54;11861;7273;7735;1265;443;0
"28";4;504;28;0;"0";"Ctrl";"B1";2005644;18945;0.74;1.59;0.26;0.62;4895;8900;4259;668;223;0
"29";5;504;28;0;"0";"Ctrl";"B2";1567402;16760;0.72;1.47;0.28;0.59;3126;6455;7034;145;0;0
"30";6;504;28;0;"0";"Ctrl";"B3";2680160;18605;0.72;1.45;0.28;0.63;7289;4692;6348;276;0;0
"31";1;720;35;2;"<50";"Treat";"B1";1224285;16198;0.62;1.35;0.38;0.51;5584;3799;6001;475;339;0
"32";2;720;35;8;"<50";"Treat";"B2";1433545;19566;0.58;1.27;0.42;0.47;8084;5994;3731;1447;207;103
"33";3;720;35;3;"<50";"Treat";"B3";2187194;38107;0.69;1.51;0.31;0.56;10815;12539;11919;2409;425;0
"34";4;720;35;0;"0";"Ctrl";"B1";2333839;37351;0.67;1.42;0.33;0.56;8159;15647;11686;1649;210;0
"35";5;720;35;0;"0";"Ctrl";"B2";2477514;22265;0.43;0.95;0.57;0.37;4239;8832;7170;1766;258;0
"36";6;720;35;0;"0";"Ctrl";"B3";2451791;44109;0.78;1.71;0.22;0.65;11020;12476;16273;3255;1085;0
